productID,price_per_one
85123A,2.55
71053,3.39
84406B,2.75
84029G,3.39
84029E,3.39
22752,7.65
21730,4.25
22633,1.85
22632,1.85
84879,1.69
22745,2.1
22748,2.1
22749,3.75
22310,1.65
84969,4.25
22623,4.95
22622,9.95
21754,5.95
21755,5.95
21777,7.95
48187,7.95
22960,4.25
22913,4.95
22912,4.95
22914,4.95
21756,5.95
22728,3.75
22727,3.75
22726,3.75
21724,0.85
21883,0.65
10002,0.85
21791,1.25
21035,2.95
22326,2.95
22629,1.95
22659,1.95
22631,1.95
22661,0.85
21731,1.65
22900,2.95
21913,3.75
22540,0.42
22544,0.42
22492,0.65
POST,18.0
22086,2.55
20679,4.95
37370,1.06
21871,1.06
21071,1.06
21068,1.06
82483,4.95
82486,6.95
82482,2.1
82494L,2.55
21258,10.95
22114,3.45
21733,2.55
22386,1.95
85099C,1.95
21033,2.95
20723,0.85
84997B,3.75
84997C,3.75
21094,0.85
20725,1.65
21559,2.55
22352,2.55
21212,0.42
21975,0.55
21977,0.55
84991,0.55
84519A,2.95
85183B,1.25
85071B,0.38
21931,1.95
21929,1.95
22961,1.45
22139,4.25
84854,4.95
22411,1.95
82567,2.1
21672,1.25
22774,1.25
22771,1.25
71270,1.25
22262,0.85
22637,2.55
21934,1.65
21169,1.69
21166,1.95
21175,2.1
37444A,2.95
37444C,2.95
22086,2.95
22083,2.95
84971S,0.85
47580,2.55
22261,0.85
84832,0.85
22644,1.45
21533,4.95
21557,2.95
15056BL,5.95
15056N,5.95
22646,1.45
22176,2.95
22438,1.95
22778,3.95
22719,1.06
21523,6.75
D,27.5
21912,3.75
21832,1.65
22379,2.1
22381,1.85
22798,2.95
22926,5.95
22839,14.95
22838,14.95
22783,16.95
35004C,4.65
82484,6.45
84755,0.65
22464,1.65
21324,2.95
22457,2.95
22469,1.45
22470,2.55
22224,2.95
21340,12.75
22189,3.95
22427,5.95
22428,6.95
22424,10.95
22783,19.95
22663,1.95
85049A,1.25
22168,8.5
22662,1.65
84880,4.95
85099C,1.65
85099B,1.65
79321,3.82
22780,3.37
22779,3.37
22466,1.45
21731,1.25
21523,7.95
21363,4.95
21411,4.25
22318,2.95
22915,0.42
